x,y
-10,-10
-64,19
-53,257
-53,28
-61,173
-71,245
-59,219
-12,151
1,4
-47,193
-87,120
34,38
-36,202
-16,180
-49,3
-23,141
-37,14
-59,75
-40,88
-35,203
-62,186
-43,199
-21,-42
-76,22
-57,264
-57,35
-91,122
-86,237
-150,73
-11,151
-53,234
-80,137
-55,81
31,4
-111,149
-46,166
-79,218
-59,196
-66,71
41,54
34,15
-16,157
-104,81
-58,197
-60,87
-2,-52
-65,8
-59,88
-54,23
-9,174
-11,-16
21,53
-65,129
-5,180
-107,132
-26,-23
-54,144
-16,170
5,-36
-22,-53
-64,130
-60,100
-114,129
-62,176
-150,63
11,-20
-53,224
-66,25
-41,198
-8,3
-44,229
-40,199
-73,22
33,40
25,36
-99,149
-52,81
-61,261
-88,244
-55,192
-48,51
-47,16
-43,166
-23,144
-47,52
-75,219
-115,146
-9,164
-106,231
29,47
-11,-26
-32,180
-88,136
-79,221
-5,170
-53,93
34,18
-55,169
-109,198
-16,160
-43,143
-3,179
-46,254
-126,145
-25,197
-93,142
-136,180
-49,248
-52,179
-92,143
-66,15
-135,181
-83,228
-62,22
-103,133
10,10
-113,205
-48,185
1,-39
-155,59
-91,223
-97,149
-37,200
-126,122
-125,87
35,39
-59,32
-154,60
-104,146
-70,22
-45,195
36,40
-58,33
-75,209
-54,3
-8,-30
-17,150
-112,141
-65,73
-52,192
-45,51
-41,201
-19,-40
-30,216
31,46
-59,9
-48,18
-35,137
-96,127
-84,101
-58,10
-12,-23
-13,161
-124,144
-78,260
-24,2
-84,137
-114,194
-115,149
-30,193
10,0
-118,80
3,-39
-113,195
-7,176
-15,172
-77,117
-105,135
3,-3
-6,177
-14,173
-68,202
-76,198
-56,176
-64,172
-70,12
-45,185
-52,146
-46,77
-43,231
-63,173
-1,3
-17,140
-112,131
-51,147
-11,183
-20,214
-42,232
-50,228
-44,271
10,13
-38,202
-46,198
-6,154
-41,47
-48,8
-22,146
24,33
-85,126
-24,-44
-100,83
-13,151
-21,147
6,-16
38,53
-23,186
-23,-43
-53,194
-99,227
-58,265
-45,18
-113,149
-54,235
-77,251
-90,132
30,48
-65,76
-78,106
-44,19
-60,11
-15,162
-29,264
-63,271
31,49
-77,107
-26,189
-67,8
-128,141
-48,21
-115,80
-49,25
-24,198
-53,171
-127,142
-36,260
26,55
-23,199
-1,-7
-78,263
-137,177
-91,144
-64,18
-72,14
-55,103
25,-17
-90,145
-43,77
31,26
-46,188
-60,24
-7,179
-54,104
-108,133
13,14
-42,78
-57,178
-111,207
36,-3
-47,228
-127,119
-36,237
-64,175
-3,5
-78,240
-10,-34
-86,236
-125,165
-55,80
-10,2
31,3
-9,-33
-32,212
-7,156
-41,14
-15,152
-54,81
-117,141
-79,253
-51,235
-86,128
-66,106
-128,131
34,50
-89,208
-114,151
-8,169
-94,129
-65,272
-86,249
-9,-56
-64,8
-121,148
27,46
-54,58
-123,187
30,51
-98,131
-72,269
-112,196
-46,178
-41,256
-80,185
-28,195
-122,188
-16,169
-71,270
-111,197
-83,116
-4,180
17,-26
-118,158
-12,176
-52,103
22,52
-60,99
-114,128
-54,179
-62,175
-49,257
6,-36
-150,62
-65,20
-29,208
-29,-21
-72,246
-93,223
-52,224
-41,233
-61,175
-15,142
-49,149
-40,234
22,29
-47,195
-41,89
-7,2
-36,204
-23,143
-20,148
-40,90
-67,73
26,35
-13,-36
-43,201
-42,166
-150,75
-105,226
30,5
-98,85
-20,184
-19,149
40,55
-55,83
-44,241
-97,86
-5,169
-34,142
-67,194
25,48
-61,8
-16,159
-3,-51
-63,84
-44,97
-37,222
-27,266
22,42
-87,135
-54,169
-35,182
-78,220
-125,145
-79,112
-21,202
-102,128
-116,193
-83,227
-45,253
-27,-22
-91,222
-56,100
-50,31
24,-20
-79,233
-112,199
-18,212
-53,105
14,15
-41,79
-154,59
-90,223
-96,149
15,16
-40,80
-39,45
-55,37
-150,65
-56,221
-44,195
-21,215
-54,38
-43,47
-103,145
-130,128
10,22
-32,205
-59,188
-53,82
33,42
25,38
-129,129
-58,9
-48,53
-49,237
-76,220
-102,82
-20,151
-92,132
-33,218
-100,128
-87,210
-101,83
-115,148
-56,234
-62,11
-9,166
-57,89
29,49
-95,242
33,19
-28,152
-56,90
-31,263
-79,223
-51,25
-48,30
-62,132
-43,145
18,-25
-96,139
-46,256
-34,230
-120,190
-128,186
7,2
19,-24
-115,125
-52,181
-106,210
-60,177
-87,223
21,22
-83,230
-51,182
-45,76
-59,178
-41,46
32,36
24,32
-105,147
-5,5
-60,69
-21,146
-76,210
-55,4
-49,227
-31,132
-64,184
-45,197
-84,126
-58,264
-78,20
-53,193
28,38
-12,2
-41,167
-9,156
-63,185
-31,217
-77,21
-65,75
-44,18
-40,168
-48,164
-84,247
-119,140
-86,137
-95,88
24,45
-99,203
-67,272
-12,-21
-73,112
-47,250
-47,21
-61,86
-110,81
-10,168
-78,262
-23,-31
-62,243
27,55
-43,256
-9,-11
-79,190
-63,18
-66,272
2,-2
3,-37
-52,27
-46,187
-102,206
-55,138
-69,203
16,18
-66,128
-34,197
-56,178
-45,187
17,19
-38,83
9,15
-39,267
28,28
-62,220
-8,-38
-50,194
-7,155
-61,184
-54,80
23,34
-17,-2
-18,182
-86,127
-25,143
-33,139
-128,130
-57,190
24,35
-65,186
-59,266
-93,124
-48,275
-55,236
-21,149
0,-57
-29,145
-89,243
-10,158
-78,252
29,6
-45,20
-133,173
-68,73
-55,92
-64,272
30,50
-98,130
-63,8
2,-12
-27,190
-107,81
-81,219
-7,168
-105,127
-4,179
-4,-50
-74,114
-67,10
7,-41
-128,143
-94,141
-82,115
-137,179
-1,-5
-56,24
-31,197
-85,226
-64,20
-11,175
-93,222
-61,174
19,54
-115,203
-109,134
-90,147
12,15
-157,57
-84,227
-63,21
-78,121
-92,223
-51,224
35,-2
-39,198
-48,229
-128,120
-28,207
34,39
-62,102
13,16
-61,30
-49,184
-57,180
-156,58
-65,176
-126,166
9,-18
-55,226
-34,20
-22,-6
-150,74
-86,238
-19,148
-58,77
-121,137
-55,82
-21,-5
-50,197
30,40
-138,84
-17,-35
-18,149
-66,72
-15,154
33,51
-60,268
-4,-60
9,-41
-128,133
-125,144
-66,193
-34,262
-41,137
-8,171
26,47
-76,265
-50,174
-77,220
-45,252
10,-41
-33,263
-81,186
-47,99
-75,266
-131,185
-78,111
-5,181
16,-25
-28,197
-82,226
-57,170
-16,171
-90,222
-70,200
-130,186
-53,140
-125,121
-34,10
-54,181
-108,210
-62,177
-89,223
-68,17
-43,190
-24,203
-150,64
-2,-38
-57,26
-71,128
-153,58
-55,72
-8,4
-83,239
-29,-19
-44,230
-18,139
-51,191
-41,235
-48,196
-62,69
25,37
-42,47
-16,148
-79,245
-38,17
-12,155
-39,201
-47,197
-55,193
-15,0
45,51
-23,145
-31,141
-20,150
-40,92
-67,75
-54,194
26,37
-47,53
-150,77
30,7
-23,1
29,48
-27,147
-87,245
-88,137
-31,262
-50,20
-79,222
-119,149
-55,170
-61,10
-36,183
-16,161
-43,144
-30,263
-12,168
-87,137
-95,133
-47,30
-22,203
-65,12
-127,186
-68,272
-69,127
-72,238
23,-19
-41,225
-48,186
-76,124
-56,102
-79,235
-44,76
-47,187
-40,46
-61,23
-49,226
-84,125
36,41
-59,69
-58,34
-33,207
-13,185
-22,216
-29,177
-8,-29
-83,206
-9,155
-43,13
-17,151
-44,197
-53,228
-20,-4
-54,40
-28,141
-42,243
-63,220
-56,79
-50,10
-119,139
-19,-3
-39,168
-67,186
-128,90
-102,228
33,44
-136,86
25,40
-50,275
-16,151
-118,140
-85,137
-25,188
-34,219
-12,-22
-47,20
-76,222
-57,235
-91,93
-31,144
-74,182
-115,150
-109,81
-62,13
-123,146
-17,164
-74,267
-48,176
-42,256
-122,147
-38,226
-53,97
-73,268
-6,178
-61,242
-43,147
-50,108
-37,227
-38,82
-33,197
7,4
-55,29
-35,236
-36,42
-63,174
-60,179
40,37
-50,229
-56,69
-30,207
-9,1
-79,202
-59,180
-53,74
-61,219
-15,186
-16,141
-129,121
-38,239
24,34
-46,235
-85,127
35,43
-13,152
-21,148
-49,229
-36,19
-10,157
-64,186
-45,199
-58,266
-53,195
-55,271
-9,158
-123,136
-63,187
-85,248
-99,84
-7,167
-54,92
39,54
23,46
-132,172
-106,81
-6,168
-48,22
-43,137
-104,127
-24,-30
-12,-19
8,-41
-28,265
-10,170
-1,-6
-60,169
-59,134
-30,197
-92,222
-58,135
-53,64
-81,231
-54,105
-51,259
-46,225
-80,232
-40,268
-67,22
-47,229
-6,1
-29,134
-64,176
-45,189
-78,241
-23,-52
-38,85
-43,235
-42,200
-75,23
-56,36
-31,209
10,-19
-19,183
-18,148
-53,41
-61,186
-9,4
-38,206
-81,244
-4,-61
-93,90
-40,16
-128,132
-57,192
-16,-36
-92,91
-21,151
-116,142
-103,81
-33,262
-113,153
-101,127
30,52
-98,132
-5,-49
-15,166
-89,137
-57,169
-97,133
-111,198
-32,262
-12,177
-120,149
-67,12
-36,228
-89,222
-129,186
-63,131
-1,-39
-57,25
9,7
-113,130
-8,183
-35,229
-43,225
19,20
-2,-3
-57,61
-91,148
-11,177
-53,260
-53,31
-27,169
-61,176
-46,192
-86,119
-5,-36
-39,200
-14,144
-128,122
-7,3
-82,238
13,18
-46,48
-114,142
-40,91
-6,4
-55,228
-54,193
46,51
-150,76
-30,141
-86,240
-19,150
-55,84
-53,273
-66,74
-94,241
25,49
-50,55
-118,149
9,-39
-52,94
-128,135
-26,3
-54,170
-49,19
-78,221
-37,259
-51,95
-8,173
8,1
-48,100
-102,129
-97,244
-64,12
-134,182
-68,127
-76,123
-57,136
-56,101
35,-10
-53,106
-58,177
-40,225
-47,186
-69,18
-56,137
-24,169
-3,-37
-72,129
-52,107
-106,136
15,17
-34,12
-150,66
-78,234
-86,230
-19,140
-58,69
-27,136
-47,78
-54,39
-83,241
11,19
-43,48
-26,137
-40,202
-18,-39
-48,198
-28,176
-82,205
44,52
-58,190
22,33
-46,15
-55,195
-36,208
-49,9
-2,-59
-1,-59
-91,92
26,39
-9,167
30,9
-30,144
-38,140
-93,204
-108,81
-5,173
-99,129
-101,205
25,52
-61,12
-69,8
-43,146
-16,163
-106,126
-25,-29
-95,135
7,3
-13,174
-22,205
-121,83
-68,9
-55,28
-76,234
-150,56
-65,14
29,27
-87,224
-121,119
-21,206
0,0
-75,235
-54,29
-71,205
-111,132
-73,15
-48,188
34,-1
-37,203
-158,56
-47,189
-26,-17
-78,201
-31,133
-24,-8
-92,123
-67,67
47,52
-47,274
-57,260
-9,157
-64,221
-63,186
-23,-7
-53,230
-52,195
-20,-2
-88,129
-68,107
-122,136
-50,12
-64,77
-51,196
-79,214
3,-13
32,50
-63,78
-80,254
-93,135
-12,-20
-73,113
-88,250
-52,172
-92,136
-66,8
0,-10
-35,261
-29,192
-83,221
-62,15
-9,170
-77,264
-51,173
-59,169
21,49
20,53
-76,116
-89,146
-132,184
-59,25
-14,176
-56,179
-45,188
-84,117
-38,84
-58,26
-29,169
-10,182
-63,176
-57,70
-44,189
-66,21
21,26
-20,-12
-95,223
-54,261
33,0
-43,270
-42,235
-50,231
10,16
-73,247
-81,243
-26,-50
-6,157
-40,15
-14,153
-49,195
-57,191
-16,-37
-59,267
-80,244
-133,89
-39,16
7,-17
-13,154
-21,150
-55,8
-56,192
-124,137
-58,268
-32,140
-115,142
-28,146
-36,142
-91,206
-77,110
-81,256
-40,257
-12,-53
-68,195
-3,175
-56,169
24,49
-39,258
-12,-17
-136,176
-33,9
-23,202
-1,-4
-11,176
-20,207
-74,236
-121,161
-42,225
-84,228
-119,121
-19,208
-53,66
-52,31
-26,169
-73,237
-7,182
-14,143
-57,181
-50,77
-25,170
-4,-36
-35,205
-56,182
-64,178
-24,-15
-86,239
27,36
-42,202
-104,227
-10,5
-65,69
-18,150
-5,-60
-41,17
31,42
-96,87
-4,-59
-120,138
-33,143
-128,134
-69,220
-48,14
-76,181
-57,194
-26,267
-114,154
26,48
-8,-57
-49,54
-91,137
-77,221
10,-40
-63,12
-38,185
-93,249
-7,172
-49,175
-117,157
32,20
-57,171
-53,141
-52,106
-67,243
28,-14
-48,256
-39,225
-34,11
-49,31
-3,-2
-57,27
9,9
-51,107
-20,-55
-39,81
-50,188
-56,28
-61,178
-15,145
20,23
-109,138
-62,70
23,28
-50,44
-58,189
-34,168
-18,-4
-128,124
-127,89
-101,227
34,43
-65,180
-106,148
-40,93
26,38
-57,269
-50,165
-77,211
-56,5
-86,242
-78,246
-11,156
-131,91
-53,10
-55,86
-56,270
-104,230
-27,4
-16,162
-129,142
-59,237
-52,96
-46,27
-69,272
-68,8
-43,181
-150,55
-33,231
-8,175
-42,182
20,-23
-45,256
-41,226
-120,82
-76,125
-17,211
-63,244
-58,179
-47,188
-75,126
-69,20
-70,204
-37,238
-4,6
-20,141
-8,152
-48,79
-68,21
-97,223
-150,68
-31,168
-30,133
-65,26
-44,198
-86,232
-53,0
29,39
-41,203
19,25
-29,214
11,21
-42,15
-52,230
-79,213
-32,208
-11,2
-40,204
-47,165
-102,229
-3,-58
-87,128
-94,89
-143,84
-2,-57
-57,7
-91,94
-86,209
-125,138
-79,105
-56,237
11,-1
-90,95
21,48
-134,174
-56,93
-50,24
37,-8
-58,169
-99,131
-28,191
-54,139
-82,220
-16,165
-12,-8
-13,176
-150,58
-65,245
-105,209
-72,206
-74,16
-8,-1
-5,152
-94,223
-48,190
25,31
-60,72
-34,210
-80,243
-39,15
-48,46
-49,230
-23,139
-56,191
-65,222
-16,-1
-33,211
28,41
-127,167
-47,47
-21,185
-69,108
-56,227
-9,159
-63,188
-72,219
-71,184
-106,226
29,42
-140,84
-64,79
-79,216
-18,-34
-81,255
-80,220
-35,142
-43,138
-98,202
-96,132
-104,128
-93,137
-12,-18
-127,144
-10,171
-92,138
28,54
-11,-54
-41,183
-35,263
-29,194
-8,-12
33,-11
-103,128
-56,60
-31,233
-40,184
-113,200
22,-21
-32,8
-82,187
-50,256
-77,122
-85,118
-51,31
-5,-1
-25,169
-6,182
15,-24
-74,127
-54,142
-120,160
-22,-55
-45,190
-38,86
-73,128
-55,262
-54,227
-57,72
-65,68
-60,183
-66,23
-74,248
-88,121
-27,-49
-62,259
-28,135
-50,233
-30,211
31,41
-9,5
10,18
-64,69
-44,47
-84,240
-27,216
-48,13
-57,193
-47,14
-21,152
0,-54
-55,10
-29,148
-75,181
-40,138
-95,202
-96,243
-90,137
-39,139
-60,16
-7,171
-69,196
-89,138
23,50
-105,130
-32,263
-51,21
-6,172
-39,224
-12,-51
-48,26
-3,177
-76,193
-56,171
-50,102
24,51
9,8
-47,256
-81,114
-23,204
-77,233
-56,27
-85,229
-60,173
-114,202
-42,227
-54,73
-27,206
-49,187
13,19
-57,183
-65,179
-37,18
-46,49
-33,168
-21,142
-61,69
-14,1
-86,241
-79,137
-13,2
-55,85
-21,-1
-23,217
-110,149
-130,91
-31,213
30,43
-9,-28
-65,71
-30,178
-45,49
-44,14
-84,207
-69,186
-49,164
-79,258
-88,209
-128,136
-65,192
-78,222
-112,80
9,-2
-107,195
-55,242
-94,134
-35,220
-102,130
-97,245
-50,177
-91,139
-64,13
-81,189
-101,131
-54,63
-90,140
-117,123
31,21
-17,210
-63,14
-71,239
24,-18
-44,256
-81,225
-82,229
-57,173
-34,13
-16,210
-150,67
-3,0
-78,235
-77,200
-10,-39
-86,231
-110,139
-96,223
-75,17
-50,190
-56,259
-72,22
-52,229
-15,147
-62,72
23,30
-60,261
-67,222
-33,135
-46,16
-48,235
-107,149
-41,94
-101,229
-82,242
-135,87
-83,134
-2,-58
-1,-58
-57,6
-78,212
-66,186
-134,88
-49,275
-142,84
-22,0
-56,7
-86,244
-45,16
-53,12
-73,183
-55,88
-90,130
31,11
-50,23
-47,177
-75,115
-91,250
-16,164
-12,171
22,47
-25,-28
-62,170
-43,183
6,-41
-49,23
-150,57
-59,95
8,5
-54,30
-9,181
-64,245
31,-12
-32,197
-11,-9
-42,269
12,11
-58,181
-52,75
-46,6
-25,-51
-36,199
-69,22
-124,86
-98,224
37,40
-51,76
-59,72
-95,149
47,53
26,30
-76,248
-150,70
-76,19
-35,20
-43,16
-45,235
-44,200
-53,231
-53,2
-54,272
-75,249
-88,130
-42,17
-71,219
-79,215
-66,68
-139,84
-147,80
-126,139
-46,19
-146,81
-95,126
-57,238
-57,9
-92,137
-135,175
-62,16
-9,171
-117,80
4,-39
-57,94
-53,244
-95,247
-58,171
-52,65
-26,-26
-6,181
-15,212
-6,-48
-69,241
26,-16
-69,12
-16,167
-22,-56
38,-5
-25,204
-4,-1
-60,97
-114,126
-93,149
-13,178
-68,242
-62,173
27,-15
-61,101
-150,60
-63,177
-45,225
21,27
-95,224
-62,29
-56,72
-30,210
10,17
-60,218
-52,42
33,37
32,41
-64,104
-37,207
-52,78
-51,43
-128,168
-44,167
-107,227
28,43
29,8
-81,136
-88,97
-115,143
-9,161
-43,19
-63,190
-65,80
-132,90
29,44
-19,-33
1,-55
33,14
-131,171
-37,184
-6,171
-114,80
-109,195
-43,140
-96,134
24,50
-46,251
-45,179
-47,255
8,-38
-47,26
40,-6
0,-42
-2,177
-36,264
-10,173
-70,271
-44,180
-66,12
-114,201
-49,101
4,-36
-56,62
-71,199
-70,127
-7,183
14,-23
-55,143
-15,179
-50,258
-108,137
-46,228
-5,0
-25,171
-127,123
-70,19
-54,229
-124,164
-17,147
-65,70
-45,48
42,53
-27,-47
-109,149
-130,126
-30,213
-44,49
-52,274
-68,186
-22,153
-42,95
-103,228
-51,275
43,53
-85,133
-145,82
-58,236
-58,7
-81,103
-29,150
-56,196
-144,83
-111,80
-107,230
-32,144
-80,104
-101,130
-29,6
-53,57
-52,22
-5,-46
-54,98
-110,197
-57,172
-26,196
36,-9
-4,-45
-76,195
-56,173
-37,43
-43,228
-123,119
-21,-13
-122,84
-50,189
-9,-39
-66,244
-114,204
20,24
-50,225
39,37
12,20
-38,199
-71,22
-46,195
-51,229
-25,138
-60,31
-81,237
-49,189
-65,181
-46,51
-47,235
-21,144
-35,209
46,54
-49,45
38,50
-24,218
-31,179
-10,-27
-85,208
-45,15
-32,134
-20,-41
-54,232
-121,142
27,40
-55,87
30,45
31,10
-37,141
-93,240
-92,205
-86,99
-60,8
-4,174
-59,238
35,16
-12,170
-85,100
-128,138
-36,221
-90,250
-49,22
-58,239
-53,168
-94,136
-102,132
-104,208
30,22
-17,-53
-45,28
2,-40
-46,149
-61,169
-32,232
-69,201
-82,231
-57,175
37,39
-53,145
-25,-16
-14,-7
-68,22
-150,69
-78,237
-86,233
-58,72
-94,149
-96,225
-50,192
-44,235
-52,231
-27,175
-66,67
-81,204
-34,136
33,46
-62,74
44,55
32,1
-51,232
-12,160
-40,241
-87,129
-28,215
34,47
-129,169
37,52
-49,12
-97,201
-57,8
-71,110
-108,228
-91,131
-56,9
29,53
-27,152
-87,250
-55,90
4,-4
-100,204
-26,-27
-16,166
5,-40
-4,177
-78,191
-12,173
-60,96
-13,-52
-68,12
-21,-56
-150,59
-1,-43
-37,265
-77,192
-86,223
-79,119
-92,149
-33,235
0,3
11,12
-44,225
-50,2
-30,-20
-5,153
-59,182
-28,169
-122,162
13,-22
-112,206
-58,183
-12,150
-48,227
-60,73
-36,201
-98,226
-23,140
-46,273
-59,74
-8,156
-62,185
-76,250
-54,9
-150,72
-9,160
-43,18
-63,189
-53,233
1,-56
-62,270
4,-14
-52,234
-79,217
-6,-59
-90,207
-16,156
-43,139
-70,185
-24,152
-80,257
-113,80
-95,128
7,-4
-13,167
-2,176
-57,240
-1,-53
-77,182
-66,11
-80,113
-115,155
-56,241
-124,186
-103,129
-71,198
-59,172
21,52
-82,188
37,-4
-118,122
-18,209
-26,205
-26,-24
-55,178
-22,-54
-45,191
-4,0
-23,-14
-100,148
-66,24
21,29
-41,197
-27,-48
-8,2
-62,260
-30,212
-65,105
-64,70
-53,79
-48,194
-36,168
-108,149
-16,146
-49,198
-63,71
-137,85
-46,240
35,48
-58,6
-61,260
-68,221
-47,15
-49,234
-64,191
-84,133
36,49
28,45
-115,145
-62,8
-9,163
-65,82
-51,166
-79,184
-60,197
-76,109
-50,247
-89,139
-64,83
23,51
-92,250
-80,224
7,-37
-28,5
-43,142
-3,178
-56,172
-76,194
-96,136
29,-13
-22,201
0,-40
-10,175
-151,56
29,23
-60,174
-19,-54
2,5
-48,4
-28,-18
-50,80
24,29
-25,173
-34,204
-12,-37
-47,5
-21,143
-57,220
-36,14
-10,152
-45,194
-58,261
28,35
-8,-31
-17,149
-77,247
-65,72
-85,243
-45,50
-60,187
-52,11
-149,78
-43,96
31,45
-30,215
23,41
-92,240
-78,138
-86,134
-59,8
-120,141
-128,137
-48,17
-148,79
-57,197
-12,-24
-29,152
-89,250
11,-41
-78,259
-10,-15
-11,169
-55,99
-9,-14
-27,197
-103,207
-57,174
-97,138
-38,44
-88,223
-76,197
-35,198
-116,124
-16,211
-56,175
-70,240
-124,120
38,39
-78,236
-123,85
-53,180
27,29
-21,-11
-1,2
-75,18
-50,191
30,34
-30,169
-64,27
-73,207
-52,1
-7,152
31,35
-63,28
-17,-5
-38,201
-126,88
-100,226
-60,262
-39,205
-22,145
-49,191
45,55
-65,183
-59,263
-55,233
-61,73
-94,125
-96,201
-11,159
-66,223
-45,17
-74,219
-55,89
-82,135
-89,96
30,47
31,12
-70,109
-26,152
1,-11
32,13
-59,240
-46,30
-48,249
-128,140
5,-5
-2,-44
-126,186
8,6
26,54
-1,-8
39,-7
-11,172
-119,81
-133,183
2,-38
-53,26
-54,67
12,12
-78,118
-52,256
-32,234
-48,226
-7,-1
-6,-37
-15,-6
-63,103
-47,227
-8,155
-43,197
-22,-9
-150,71
-78,239
-86,235
-39,87
-27,141
-56,263
-83,246
-90,121
31,2
-42,18
-38,168
-17,-38
-52,233
-45,272
-26,142
-41,242
-34,138
41,52
-15,151
-91,241
-130,170
-16,155
-72,111
-58,195
-61,269
-108,194
-90,242
5,-15
-24,187
-82,102
-30,149
-5,178
-26,-25
-6,-47
25,57
-61,17
-14,-51
-16,168
-70,197
-38,266
-12,175
22,51
-106,131
-60,98
-114,127
-95,140)}
